# Формат: ID|Имя|Описание|Воздействие|Антагонисты|ProbeKey|Active
# Воздействие: paramId1:effect1;paramId2:effect2
# Антагонисты: id1,id2,id3
# ProbeKey: ключ из metric-probes.json; пусто — воздействие оператора с пульта
# Active: true/false — для метрик среды: опрос и давление; пусто или true — активна
1|Наказать|Отрицательное максимальное подкрепление от Оператора|3:5;6:2;7:5|2||true
2|Поощрить|Положительное максимальное подкрепление от Оператора|3:-5;6:-2;7:-5|1||true
50|Материал в модели|Назначен ли материал у открытой детали или у детали в режиме редактирования в сборке.|9:-1||Velum.Solid.Material|true
59|Несохранённый документ|Файл сохранён на диск — хорошо; новый без имени — нужно сохранить по правилам КБ.|8:-1||Velum.Solid.Document.UnsavedNew|true
60|PDF: наличие файла|Путь к PDF пустой или заполнен, но файл не найден, установлен флаг «Нужен pdf» = Да.|10:-1||Velum.Solid.Pdf.FileExists|true
61|PDF: устарел|PDF старше файла-источника, установлен флаг «Нужен pdf» = Да.|10:-1||Velum.Solid.Pdf.IsOutdated|true
62|DXF: наличие файла|Путь к DXF пустой или заполнен, но файл не найден,  установлен флаг «Нужен dxf» = Да.|10:-1||Velum.Solid.Dxf.FileExists|true
63|DXF: устарел|DXF старше файла-источника, установлен флаг «Нужен dxf» = Да.|10:-1||Velum.Solid.Dxf.IsOutdated|true
64|Запуск экспорта DXF|Открыть диалоговую форму экспорта DXF||||true
65|Запуск экспорта PDF|Открыть диалоговую форму экспорта PDF||||true
67|Габарит заготовки: ссылки|Толщина/Длина/Ширина пусты или ссылки невалидны (листовая деталь, «Нужен dxf» = Да).|10:-1||Velum.Solid.BlankSize.LinksOk|true
68|Реестр: битые ссылки|В реестре изделий есть запись с пустым/битым путём (или timeout UNC).|11:-1||Velum.Registry.HasBrokenLinks|true
69|Реестр: нет чертежа|У детали/сборки в реестре нет живого чертежа в субкаталоге «Чертежи» головного каталога.|11:-1||Velum.Registry.HasMissingDrawings|true
70|Показать проблемы реестра|Открыть список проблем целостности реестра изделий||||true
71|Зафиксировать путь к чертежу|Записать в свойствах Детали/Сборки путь к чертежу||||true
72|Назначить материал детали|Установить для детали материал, который был установлен для предыдущей детали||||true
73|Вычислить габарит заготовки|Для листовой детали вычисляется габарит по размерам Flatlattern||||true
74|Реестр: проблемы DXF|Флот DXF в реестре изделий: нужен экспорт, устарел, нет проекции, каталог недоступен, первая выгрузка или мусорный файл (проверка при отсутствии открытых документов).|11:-1||Velum.Registry.HasDxfProblems|true
75|Реестр: проблемы PDF|Флот PDF в реестре изделий: нужен экспорт, устарел или мусорный файл (проверка при отсутствии открытых документов).|11:-1||Velum.Registry.HasPdfProblems|true
