# Формат: Id|Description|DefaultWeight|AllowedInfoFuncIds
# Id: идентификатор типа темы (1–20), Description: описание, DefaultWeight: вес по умолчанию (обязательно >0), AllowedInfoFuncIds: список Id через запятую (пусто = без ограничений)
1|Негативный эффект моторного автоматизма|2|4,6,13,14,18,28,29,31
2|Негативный эффект ментального автоматизма|2|3,6,8,11,26,28,29
3|Состояние Плохо|3|3,4,8,14,18,28,29,31
4|Стимул с Пульта|2|3,7,8,11,28,29
5|Поисковый интерес|5|2,3,15,25,28,29,30
6|Обучение с учителем|2|3,7,8,12,28,29
7|Игнорирование оператором|1|8,11,27,28,29,31
8|Игра|3|2,3,15,22,25,28,29,30
9|Неудовлетворенность существующим|2|2,3,26,28,29,30
10|Непонимание|2|2,3,8,10,11,26,28,29
11|Действие оператора|1|7,8,12,28,29
12|Сомнение в штатном автоматизме|5|6,7,11,12,13,28,29
13|Защита|5|4,6,14,18,28,29,31
14|Страх|5|4,10,14,18,28,29,31
15|Агрессия|3|4,6,13,14,18,28,29
16|Есть объект высокой значимости|2|5,8,9,10,14,28,29
17|Улучшение настроения|2|1,2,3,25,28,29,30
18|Истощение сил и ресурсов|5|4,8,14,18,29,31
19|Восстановление и исцеление|5|1,2,25,28,29
20|Альтруизм|3|2,3,8,28,29
21|Длительное отсутствие стимула оператора|2|2,3,22,27,28,29,30
22|Пассивная переобработка|2|1,2,10,16,17,25,28,29
