# ID|InfluenceActionsList|PhraseIdList|CommandPatternIdList|VisualColorId
# Формат списков: id1,id2,id3
# CommandPatternIdList: ID паттернов CommandChannel PhraseTree (через запятую); столбец опционален в старых файлах (как пусто)
# VisualColorId: 0 белый, 1 чёрный, 2–8 спектр (см. AgentVisualColor); столбец опционален в старых файлах (как 0)
1|101|||0
2|||1|0
5|||8|0
6|||35|0
7|||34|0
8|50|||0
9|1|||0
11|59|||0
13|||5|0
14|||33|0
15|2|||0
16|||36|0
17|||10|0
18|||15|0
19|64|||0
20|||2|0
21|||3|0
22|||4|0
23|||6|0
24||1||0
25|||7|0
26|65|||0
27||2||0
28|||9|0
29|||12|0
30|||14|0
31|64,65|||0
32|||16|0
33|||17|0
34||||0
35|||18|0
36|||13|0
37|70|||0
38|||19|0
39|||11|0
40|||2,7|0
41|||2,4|0
42|||20|0
43|||21|0
44|||7,4|0
45|||4,7|0
46|||4,7,13|0
47|||14,4|0
48|||4,20|0
49|||16,13,20|0
50|||4,22,23,20|0
51|||4,22,23|0
52|||4,7,13,3|0
53|||7,4,20|0
54|||7,24|0
55|71|||0
56|72|||0
57|73|||0
