# SensoryAssociations: направленные сенсорные связи между образами восприятия
# Format: EarlierImageId|LaterImageId|Strength|LastStrengthen|BirthTime|MaxAchievedStrength
2|20|0,1964265|15853|15853|0,2
2|21|0,4811226|26551|15500|0,4811226
2|24|0,1946756|9942|9942|0,2
2|25|0,1946756|8927|8927|0,2
2|32|0,3514032|15508|15441|0,36
5|2|0,7601934|16182|10542|0,7844799
5|23|0,1982012|19597|19597|0,2
13|2|0,1946756|15099|15099|0,2
13|5|0,6548874|19274|8904|0,663728
13|20|0,36|26549|26499|0,36
13|21|0,2|26632|26632|0,2
13|23|0,2|21964|21964|0,2
13|25|0,1982012|19708|19708|0,2
13|32|0,1982012|19740|19740|0,2
17|24|0,3472199|9859|9859|0,36
20|2|0,67232|26584|21715|0,67232
20|22|0,9407032|20977|10505|0,9425883
20|23|0,2|24577|24577|0,2
20|25|0,9067989|22020|10483|0,9067989
20|28|0,488|24792|24615|0,488
20|32|0,3556626|17642|16960|0,36
21|2|0,654422|15610|15439|0,67232
21|5|0,1982012|20055|20055|0,2
21|13|0,36|26582|26497|0,36
21|20|0,2|21940|21940|0,2
21|23|0,2|26670|26670|0,2
21|30|0,1946756|15339|15339|0,2
22|2|0,3472199|10511|9153|0,36
22|5|0,3528552|19754|13431|0,3571412
22|13|0,2|21960|21960|0,2
22|21|0,1964265|15856|15856|0,2
22|25|0,9122726|20221|19679|0,9141008
22|32|0,6632499|19882|19657|0,67232
22|36|0,3556626|20982|17331|0,36
22|42|0,1982012|20039|20039|0,2
23|20|0,2|21967|21967|0,2
23|21|0,2|24804|24804|0,2
23|24|0,3472199|8913|8913|0,36
23|28|0,1982012|19599|19599|0,2
23|32|0,1982012|17551|17551|0,2
23|33|0,1964265|16208|16208|0,2
24|13|0,1946756|8903|8903|0,2
25|5|0,6548874|19585|10759|0,663728
25|21|0,1946756|8930|8930|0,2
25|22|0,8908407|20333|19680|0,8926259
25|32|0,5833997|19874|19670|0,5904
25|36|0,9294181|20652|19563|0,9312807
28|5|0,3528552|19592|13784|0,3571412
28|17|0,1946756|13346|13346|0,2
28|20|0,5904|24817|24733|0,5904
28|32|0,1982012|19601|19601|0,2
30|2|0,1946756|15288|15288|0,2
30|21|0,1964265|15467|15467|0,2
30|25|0,1982012|20648|20648|0,2
30|32|0,1946756|15343|15343|0,2
30|43|0,2|21212|21212|0,2
31|20|0,1946756|15081|15081|0,2
32|2|0,4774113|15513|15345|0,4868487
32|20|0,1982012|19674|19674|0,2
32|22|0,7777674|20000|19742|0,7902848
32|25|0,5833997|19877|19603|0,5904
32|36|0,3556626|19815|17644|0,36
35|36|0,1982012|17252|17252|0,2
36|2|0,1982012|17649|17649|0,2
36|20|0,1982012|20472|20472|0,2
36|22|0,5833997|20100|19711|0,5904
36|25|0,5833997|20278|19567|0,5904
36|30|0,3556626|20987|20482|0,36
36|32|0,1982012|19816|19816|0,2
36|47|0,1982012|20346|20346|0,2
39|22|0,1982012|19553|19553|0,2
42|21|0,1982012|20051|20051|0,2
47|25|0,1982012|20348|20348|0,2
